Entry Date,Exit Date,Stock,Trade Type,Shares,Entry Price,Exit Price,Capital Allocated,Stock return,Reason,weight,portfolio return,profit/loss,portfolio value,Cumulative Return
31-12-2013,31-01-2014,TCS.NS,Long,71,874.1686401,903.5460205,62065.97345,0.033606079,End of Period,0.624344087,0.020981757,2085.794008,102085.794,0.020981757
31-12-2013,31-01-2014,INFY.NS,Long,111,337.618988,358.4873962,37475.70767,0.061810529,End of Period,0.375655913,0.023219491,2316.39331,102316.3933,0.044688433
31-01-2014,28-02-2014,TCS.NS,Long,66,903.5460205,917.5360718,59634.03735,0.015483496,End of Period,0.572873181,0.00887008,923.3433858,105343.4681,0.053954903
31-01-2014,28-02-2014,INFY.NS,Long,124,358.4873962,370.4737244,44452.43713,0.033435843,End of Period,0.427126819,0.014281345,1486.304697,105906.4294,0.069006796
28-02-2014,31-03-2014,INFY.NS,Long,117,370.4737244,317.9710388,43345.42575,-0.141717704,End of Period,0.408903288,-0.057948835,-6142.814215,100694.7852,0.007059098
31-03-2014,30-04-2014,TCS.NS,Long,72,860.0428467,882.6408081,61923.08496,0.02627539,End of Period,0.618318916,0.016246571,1627.053221,102273.5382,0.023420355
30-04-2014,30-05-2014,TCS.NS,Long,61,882.6408081,863.3488159,53841.08929,-0.021857127,End of Period,0.534094236,-0.011673766,-1176.811524,101104.8337,0.011473186
30-05-2014,30-06-2014,TCS.NS,Long,60,863.3488159,987.2559204,51800.92895,0.143519169,End of Period,0.518834255,0.074462661,7434.42627,108522.0595,0.086790171
30-05-2014,30-06-2014,RELIANCE.NS,Long,106,457.4855957,436.3021545,48493.47314,-0.046304062,End of Period,0.481165745,-0.022279928,-2245.444767,98842.18851,0.062576563
30-06-2014,31-07-2014,TCS.NS,Long,64,987.2559204,1066.578613,63184.37891,0.080346637,End of Period,0.602653341,0.048421169,5076.652326,111439.3146,0.114027763
30-06-2014,31-07-2014,BAJFINANCE.NS,Long,218,193.2623901,212.7839813,42131.20104,0.101010813,End of Period,0.397346659,0.040136309,4255.706882,110618.3691,0.158740725
31-07-2014,28-08-2014,BAJFINANCE.NS,Long,237,212.7839813,239.8624115,50429.80357,0.127257842,End of Period,0.437350676,0.055656303,6417.587957,122199.4593,0.223231951
31-07-2014,28-08-2014,KOTAKBANK.NS,Long,137,473.9820557,515.6549683,64935.54163,0.087920866,End of Period,0.562649324,0.049468616,5709.189026,121491.0604,0.283743542
28-08-2014,30-09-2014,BAJFINANCE.NS,Long,292,239.8624115,264.1164551,70039.82416,0.101116484,End of Period,0.548137921,0.055425779,7082.180731,135035.6119,0.354896027
28-08-2014,30-09-2014,KOTAKBANK.NS,Long,112,515.6549683,503.5034485,57753.35645,-0.023565214,End of Period,0.451862079,-0.010648227,-1360.970218,126592.4609,0.340468787
30-09-2014,31-10-2014,BAJFINANCE.NS,Long,247,264.1164551,272.5797119,65236.76441,0.032043656,End of Period,0.488663421,0.015658563,2090.42443,135773.2971,0.361458602
30-09-2014,31-10-2014,TCS.NS,Long,60,1131.295532,1080.250488,67877.73192,-0.045120875,End of Period,0.511336579,-0.023071954,-3062.70264,130620.17,0.330047092
31-10-2014,28-11-2014,BAJFINANCE.NS,Long,223,272.5797119,300.0803223,60785.27575,0.100890159,End of Period,0.458678417,0.046276138,6132.636119,138824.4653,0.391596535
28-11-2014,31-12-2014,BAJFINANCE.NS,Long,195,300.0803223,338.1357117,58515.66285,0.126817344,End of Period,0.423141854,0.053661726,7420.800933,146253.0956,0.466272007
28-11-2014,31-12-2014,HDFCBANK.NS,Long,180,442.7023315,440.1352844,79686.41967,-0.005798585,End of Period,0.576858146,-0.003344961,-462.068478,138370.2262,0.461367384
31-12-2014,30-01-2015,BAJFINANCE.NS,Long,251,338.1357117,393.1271973,84872.06364,0.162631404,End of Period,0.583821876,0.094947772,13802.86289,159620.7495,0.600120961
31-12-2014,30-01-2015,KOTAKBANK.NS,Long,96,628.149353,657.1238403,60302.33789,0.046126749,End of Period,0.416178124,0.019196944,2781.550781,148599.4374,0.630838393
30-01-2015,27-02-2015,BAJFINANCE.NS,Long,196,393.1271973,398.6157227,77052.93067,0.013961195,End of Period,0.475047094,0.006632225,1075.750978,163537.9787,0.64165448
30-01-2015,27-02-2015,KOTAKBANK.NS,Long,129,657.1238403,664.8521729,84768.9754,0.011760846,End of Period,0.524952906,0.006173891,996.9549054,163459.1826,0.651789875
27-02-2015,31-03-2015,BAJFINANCE.NS,Long,190,398.6157227,398.7467346,75736.98731,0.000328667,End of Period,0.460893636,0.000151481,24.892261,164567.63,0.652040089
27-02-2015,31-03-2015,KOTAKBANK.NS,Long,133,664.8521729,652.6758423,88425.339,-0.018314343,End of Period,0.539106364,-0.009873379,-1619.45197,162923.2858,0.635728872
31-03-2015,30-04-2015,BAJFINANCE.NS,Long,161,398.7467346,392.5206299,64198.22427,-0.015614184,End of Period,0.395833849,-0.006180622,-1002.402857,161940.6672,0.625619049
31-03-2015,30-04-2015,KOTAKBANK.NS,Long,150,652.6758423,662.4417114,97901.37635,0.014962817,End of Period,0.604166151,0.009040027,1464.880365,164407.9504,0.64031469
30-04-2015,29-05-2015,BAJFINANCE.NS,Long,162,392.5206299,409.2383728,63588.34204,0.042590737,End of Period,0.389791604,0.016601512,2708.27435,166117.2646,0.667546394
30-04-2015,29-05-2015,KOTAKBANK.NS,Long,150,662.4417114,695.4420166,99366.25671,0.049816164,End of Period,0.610208396,0.030398242,4950.04578,168359.0361,0.718236872
29-05-2015,30-06-2015,BAJFINANCE.NS,Long,154,409.2383728,528.3106689,63022.70941,0.290960731,End of Period,0.370212388,0.107717267,18337.1336,189426.3061,0.903320652
29-05-2015,30-06-2015,KOTAKBANK.NS,Long,154,695.4420166,689.2116699,107098.0706,-0.00895883,End of Period,0.629787612,-0.00564216,-959.4733918,170129.6992,0.892581812
30-06-2015,31-07-2015,BAJFINANCE.NS,Long,109,528.3106689,536.7493896,57585.86291,0.015973027,End of Period,0.305853505,0.004885406,919.8205563,189472.9387,0.901827843
30-06-2015,31-07-2015,KOTAKBANK.NS,Long,189,689.2116699,691.6983032,130261.0056,0.003607938,End of Period,0.694146495,0.002504438,469.9736937,189023.0918,0.906590853
31-07-2015,31-08-2015,BAJFINANCE.NS,Long,83,536.7493896,489.0182495,44550.19934,-0.088926305,End of Period,0.235426056,-0.020935569,-3961.684628,185984.8117,0.866675288
31-07-2015,31-08-2015,HDFCBANK.NS,Long,280,518.0264893,478.7894287,145047.417,-0.075743348,End of Period,0.764573944,-0.05791139,-10986.37697,178960.1193,0.758573527
31-08-2015,30-09-2015,BAJFINANCE.NS,Long,82,489.0182495,499.736145,40099.49646,0.021917169,End of Period,0.229981138,0.005040535,878.867431,175848.66,0.767437679
31-08-2015,30-09-2015,HDFCBANK.NS,Long,281,478.7894287,498.0584412,134539.8295,0.040245276,End of Period,0.770018862,0.030989621,5414.592513,180384.3851,0.822209903
30-09-2015,30-10-2015,BAJFINANCE.NS,Long,90,499.736145,508.60849,44976.25305,0.017754059,End of Period,0.249186172,0.004424066,798.51105,182072.4927,0.83027148
30-09-2015,30-10-2015,HDFCBANK.NS,Long,273,498.0584412,512.4111328,135969.9544,0.028817284,End of Period,0.750813828,0.021636415,3918.284807,185192.2664,0.869871994
30-10-2015,30-11-2015,BAJFINANCE.NS,Long,89,508.60849,539.6419067,45266.15561,0.061016317,End of Period,0.245460941,0.014977123,2761.974086,188760.0429,0.897877296
30-10-2015,30-11-2015,HDFCBANK.NS,Long,273,512.4111328,502.2290955,139888.2393,-0.019870835,End of Period,0.754539059,-0.014993321,-2779.696183,183218.3727,0.869421812
30-11-2015,31-12-2015,BAJFINANCE.NS,Long,85,539.6419067,585.3133545,45869.56207,0.084632878,End of Period,0.24870384,0.021048522,3882.073063,189877.1289,0.908770378
30-11-2015,31-12-2015,HDFCBANK.NS,Long,278,502.2290955,504.279541,139619.6885,0.00408269,End of Period,0.75129616,0.003067309,570.023849,186565.0797,0.914625166
31-12-2015,29-01-2016,BAJFINANCE.NS,Long,85,585.3133545,577.3712158,49751.63513,-0.013569037,End of Period,0.262525609,-0.00356222,-675.0817895,189805.3994,0.907804851
29-01-2016,29-02-2016,BAJFINANCE.NS,Long,91,577.3712158,577.7266846,52540.78064,0.000615668,End of Period,0.277969173,0.000171137,32.3476608,189834.2955,0.908131346
29-01-2016,29-02-2016,INFY.NS,Long,290,472.3525391,439.5689087,136982.2363,-0.069405005,End of Period,0.722030827,-0.050112553,-9507.252816,180294.695,0.812510012
29-02-2016,31-03-2016,BAJFINANCE.NS,Long,118,577.7266846,676.2280273,68171.74878,0.17049817,End of Period,0.381049169,0.064968186,11623.15844,191946.1281,0.9302655
29-02-2016,31-03-2016,RELIANCE.NS,Long,265,420.5881348,459.885437,111455.8557,0.093434167,End of Period,0.618950831,0.057831156,10413.78508,190736.7548,1.041894984
31-03-2016,29-04-2016,BAJFINANCE.NS,Long,114,676.2280273,666.9451904,77089.99511,-0.013727377,End of Period,0.382042075,-0.005244435,-1058.243407,201408.2682,1.031186398
31-03-2016,29-04-2016,RELIANCE.NS,Long,272,459.885437,432.3855286,125088.8389,-0.059797302,End of Period,0.617957925,-0.036952217,-7479.975085,194986.5366,0.956129558
29-04-2016,31-05-2016,BAJFINANCE.NS,Long,70,666.9451904,741.1393433,46686.16333,0.111244753,End of Period,0.243826292,0.027124396,5193.590703,199116.6934,1.00918839
29-04-2016,31-05-2016,INFY.NS,Long,299,489.869751,506.3122864,146471.0555,0.033565117,End of Period,0.756173708,0.025381059,4916.318085,198839.4207,1.060183718
31-05-2016,30-06-2016,BAJFINANCE.NS,Long,67,741.1393433,780.975708,49656.336,0.053750169,End of Period,0.24637407,0.013242648,2669.036435,206774.1597,1.087466006
31-05-2016,30-06-2016,INFY.NS,Long,303,506.3122864,480.2727356,153412.6228,-0.051429822,End of Period,0.75362593,-0.038758847,-7889.983892,196215.1394,1.006558229
30-06-2016,29-07-2016,HDFCBANK.NS,Long,201,552.7226563,585.4927979,111097.2539,0.05928858,End of Period,0.558933014,0.033138345,6586.798462,205483.9347,1.073052248
29-07-2016,31-08-2016,HDFCBANK.NS,Long,260,585.4927979,606.6347656,152228.1275,0.036109697,End of Period,0.741340235,0.026769571,5496.911602,210985.1697,1.128546968
30-09-2016,28-10-2016,BAJFINANCE.NS,Long,50,1032.057983,1048.332275,51602.89915,0.015768777,End of Period,0.240302218,0.003789272,813.7146,217450.8929,1.136612612
30-09-2016,28-10-2016,RELIANCE.NS,Long,345,476.8253479,464.1753845,164504.745,-0.026529553,End of Period,0.759697782,-0.020154443,-4364.237373,212272.9409,1.093550376
